Student,Section  ,Quiz 1,Quiz 2,Midterm 1
1,Section 1,17.5,13.4575,22.5
2,Section 1,16.5,14.2125,25
3,Section 2,12.5,14.615,23.5
4,Section 2,10.5,15.21,25
5,Section 2,5.5,12.2225,24.5
6,Section 1,14,14.5875,23.5
7,Section 2,11,,20.5
8,Section 2,15,18.75,25
9,Section 2,17,16.5,25
10,Section 1,14,19.25,19.5
11,Section 2,11,10.9625,24.5
12,Section 1,10.5,7.365,19.5
13,Section 1,16.5,18.245,25
14,Section 1,14.5,18.8375,21.5
15,Section 1,14.5,11.11,25
16,Section 1,8,8.7475,24
17,Section 1,14.5,15.9125,21
18,Section 2,14,8.8975,16.5
19,Section 1,11,4.1425,21
20,Section 2,17,14.95,25
21,Section 1,18.5,13.625,24
22,Section 2,14,13.5025,23
23,Section 1,10.5,17.7025,21.5
24,Section 1,10,15.5025,24
25,Section 2,11,12.875,20
26,Section 2,15,12.2075,25
27,Section 2,16,19.065,24.5
28,Section 2,19.5,20,24.5
29,Section 1,15,11.92,24
30,Section 1,18,14.495,25
31,Section 2,14.5,16.565,25
32,Section 2,18.5,18.825,24
33,Section 1,14,12.19,25
34,Section 2,11.5,10.495,23.5
35,Section 2,10,10.5725,24
36,Section 2,20,18.5,25
37,Section 1,11,14.94,25
38,Section 1,15,14.7175,23.5
39,Section 2,18.5,19.505,23.5
40,Section 1,,20,25
41,Section 2,9.5,13.4625,20
42,Section 1,14,11.8775,20.5
43,Section 2,3,,13
44,Section 2,13,20,25
45,Section 1,16,18.57,25
46,Section 1,10.5,12.8325,23
47,Section 1,16.5,15.4725,21
48,Section 2,10.5,18.255,23.5
49,Section 1,17.5,17.875,25
50,Section 2,13.5,9.81,23.5
51,Section 1,14.5,19.505,23.5
52,Section 1,16.5,11.7875,21.5
